isin,date
COB01CD06EX7,2018Q4
COB01CD06J24,2018Q4
COB01CD06OX6,2018Q4
COB01CD06WQ3,2018Q4
COB01CD06Z40,2018Q4
COB01CD071U3,2018Q4
COB01CD071W9,2018Q4
COB01CD072E5,2018Q4
COB01CD073Q7,2018Q4
COB01CD076A4,2018Q4
COB01CD077O3,2018Q4
COB01CD078M5,2018Q4
COB01CD079I1,2018Q4
COB01CD07A06,2018Q4
COB01CD07B70,2018Q4
COB01CD07BP7,2018Q4
COB01CD07DY5,2018Q4
COB01CD07EU1,2018Q4
COB01CD07F35,2018Q4
COB01CD07FQ6,2018Q4
COB01CD07FR4,2018Q4
COB01CD07GJ9,2018Q4
COB01CD07GR2,2018Q4
COB01CD07GS0,2018Q4
COB01CD07H66,2018Q4
COB01CD07HG3,2018Q4
COB01CD07HL3,2018Q4
COB01CD07IY4,2018Q4
COB01CD07JC8,2018Q4
COB01CD07JN5,2018Q4
COB01CD07JO3,2018Q4
COB01CD07JP0,2018Q4
COB01CD07JY2,2018Q4
COB01CD07JZ9,2018Q4
COB01CD07K87,2018Q4
COB01CD07KK9,2018Q4
COB01CD07L94,2018Q4
COB01CD07M77,2018Q4
COB01CD07MC2,2018Q4
COB01CD07MO7,2018Q4
COB01CD07MX8,2018Q4
COB01CD07N43,2018Q4
COB01CD07N84,2018Q4
COB01CD07NB2,2018Q4
COB01CD07NZ1,2018Q4
COB01CD07OC8,2018Q4
COB01CD07OH7,2018Q4
COB01CD07PE1,2018Q4
COB01CD07SB1,2018Q4
COB01CD07T05,2018Q4
COB01CD07T13,2018Q4
COB01CD07U51,2018Q4
COB01CD07UP7,2018Q4
COB01CD07V01,2018Q4
COB01CD07W75,2018Q4
COB01CD07W83,2018Q4
COB01CD07WI8,2018Q4
COB01CD07WP3,2018Q4
COB01CD07X82,2018Q4
COB01CD07XK2,2018Q4
COB01CD07XU1,2018Q4
COB01CD07Y16,2018Q4
COB01CD07Y65,2018Q4
COB01CD07YD5,2018Q4
COB01CD07YE3,2018Q4
COB01CD07YR5,2018Q4
COB01CD07YS3,2018Q4
COB01CD07ZF7,2018Q4
COB01CD07ZH3,2018Q4
COB01CD080F5,2018Q4
COB01CD080W0,2018Q4
COB01CD082W6,2018Q4
COB01CD082X4,2018Q4
COB01CD083C6,2018Q4
COB01CD084U6,2018Q4
COB01CD085W9,2018Q4
COB01CD085Y5,2018Q4
COB01CD086B1,2018Q4
COB01CD086H8,2018Q4
COB01CD086Y3,2018Q4
COB01CD087V7,2018Q4
COB01CD088N2,2018Q4
COB01CD089K6,2018Q4
COB01CD089S9,2018Q4
COB01CD08A39,2018Q4
COB01CD08A47,2018Q4
COB01CD08AA9,2018Q4
COB01CD08B87,2018Q4
COB01CD08B95,2018Q4
COB01CD08BA7,2018Q4
COB01CD08BB5,2018Q4
COB01CD08C52,2018Q4
COB01CD08CH0,2018Q4
COB01CD08CO6,2018Q4
COB01CD08D51,2018Q4
COB01CD08D69,2018Q4
COB01CD08D77,2018Q4
COB01CD08DD7,2018Q4
COB01CD08DE5,2018Q4
COB01CD08DF2,2018Q4
COB01CD08DG0,2018Q4
COB01CD08DI6,2018Q4
COB01CD08ES3,2018Q4
COB01CD08F75,2018Q4
COB01CD08FP6,2018Q4
COB01CD08GE8,2018Q4
COB01CD08GW0,2018Q4
COB01CD08GY6,2018Q4
COB01CD08HB2,2018Q4
COB01CD08HE6,2018Q4
COB01CD08HQ0,2018Q4
COB01CD08HT4,2018Q4
COB01CD08HV0,2018Q4
COB01CD08I07,2018Q4
COB01CD08IG9,2018Q4
COB01CD08J97,2018Q4
COB01CD08JE2,2018Q4
COB01CD08JY0,2018Q4
COB01CD08JZ7,2018Q4
COB01CD08KA8,2018Q4
COB01CD08LN9,2018Q4
COB01CD08LO7,2018Q4
COB01CD08ND6,2018Q4
COB01CD08NE4,2018Q4
COB01CD08NR6,2018Q4
COB02CD19105,2018Q4
COB02CD19220,2018Q4
COB02CD19352,2018Q4
COB02CD20517,2018Q4
COB02CD20533,2018Q4
COB02CD20673,2018Q4
COB02CD20798,2018Q4
COB02CD20905,2018Q4
COB02CD20954,2018Q4
COB02CD21390,2018Q4
COB02CD21531,2018Q4
COB02CD21556,2018Q4
COB02CD21663,2018Q4
COB02CD21713,2018Q4
COB02CD21846,2018Q4
COB02CD21861,2018Q4
COB02CD21895,2018Q4
COB02CD21945,2018Q4
COB02CD22216,2018Q4
COB02CD22240,2018Q4
COB02CD22307,2018Q4
COB02CD22349,2018Q4
COB02CD22380,2018Q4
COB02CD22596,2018Q4
COB02CD22646,2018Q4
COB02CD22729,2018Q4
COB02CD22745,2018Q4
COB02CD22786,2018Q4
COB02CD22810,2018Q4
COB02CD22844,2018Q4
COB02CD22869,2018Q4
COB02CD22968,2018Q4
COB02CD22984,2018Q4
COB02CD22992,2018Q4
COB02CD23008,2018Q4
COB02CD23024,2018Q4
COB02CD23032,2018Q4
COB02CD23040,2018Q4
COB02CD23057,2018Q4
COB02CD23065,2018Q4
COB02CD23164,2018Q4
COB02CD23206,2018Q4
COB02CD23214,2018Q4
COB02CD23297,2018Q4
COB02CD23453,2018Q4
COB02CD23511,2018Q4
COB02CD23529,2018Q4
COB02CD23552,2018Q4
COB02CD23560,2018Q4
COB02CD23602,2018Q4
COB02CD23651,2018Q4
COB02CD23669,2018Q4
COB02CD23719,2018Q4
COB02CD23768,2018Q4
COB02CD23818,2018Q4
COB02CD23842,2018Q4
COB02CD23891,2018Q4
COB02CD24006,2018Q4
COB02CD24089,2018Q4
COB02CD24121,2018Q4
COB02CD24162,2018Q4
COB02CD24204,2018Q4
COB02CD24212,2018Q4
COB02CD24238,2018Q4
COB02CD24337,2018Q4
COB02CD24345,2018Q4
COB02CD24360,2018Q4
COB02CD24675,2018Q4
COB02CD24782,2018Q4
COB02CD24865,2018Q4
COB02CD25078,2018Q4
COB02CD25144,2018Q4
COB02CD25151,2018Q4
COB02CD25649,2018Q4
COB02CD25656,2018Q4
COB02CD25664,2018Q4
COB02CD25730,2018Q4
COB02CD25904,2018Q4
COB02CD25912,2018Q4
COB02CD25946,2018Q4
COB02CD26001,2018Q4
COB02CD26191,2018Q4
COB02CD26209,2018Q4
COB06CD09610,2018Q4
COB06CD0HKI4,2018Q4
COB06CD0Q5O6,2018Q4
COB06CD0QZ89,2018Q4
COB06CD0QZA0,2018Q4
COB06CD0SB28,2018Q4
COB06CD0SXF0,2018Q4
COB06CD0T4Y5,2018Q4
COB06CD0TYE9,2018Q4
COB06CD0TYH2,2018Q4
COB06CD0WE03,2018Q4
COB06CD10DE0,2018Q4
COB06CD10FC9,2018Q4
COB06CD15Z51,2018Q4
COB06CD17QM0,2018Q4
COB06CD18V78,2018Q4
COB06CD18X35,2018Q4
COB06CD1A9Y4,2018Q4
COB06CD1ACX3,2018Q4
COB06CD1AEW1,2018Q4
COB06CD1AEX9,2018Q4
COB06CD1CAV7,2018Q4
COB06CD1CGY8,2018Q4
COB06CD1CGZ5,2018Q4
COB06CD1EFJ7,2018Q4
COB06CD1EKT6,2018Q4
COB06CD1EL62,2018Q4
COB06CD1F0H3,2018Q4
COB06CD1F1T6,2018Q4
COB06CD1FRI1,2018Q4
COB06CD1FRJ9,2018Q4
COB06CD1FRL5,2018Q4
COB07CD01P41,2018Q4
COB07CD01PL6,2018Q4
COB07CD01RW9,2018Q4
COB07CD01SW7,2018Q4
COB07CD01TL8,2018Q4
COB07CD051G8,2018Q4
COB07CD07I28,2018Q4
COB07CD07JT9,2018Q4
COB07CD07SX2,2018Q4
COB07CD07TH3,2018Q4
COB07CD07V70,2018Q4
COB07CD07VJ5,2018Q4
COB07CD07VU2,2018Q4
COB07CD07W20,2018Q4
COB07CD07ZB3,2018Q4
COB07CD087Y5,2018Q4
COB07CD088A3,2018Q4
COB07CD08LS5,2018Q4
COB07CD08LT3,2018Q4
COB07CD08LU1,2018Q4
COB07CD08MW5,2018Q4
COB07CD08NC5,2018Q4
COB07CD08O94,2018Q4
COB07CD08OR1,2018Q4
COB07CD08OT7,2018Q4
COB07CD08P44,2018Q4
COB07CD08QJ3,2018Q4
COB07CD08RL7,2018Q4
COB07CD08U62,2018Q4
COB07CD08UA4,2018Q4
COB07CD08UN7,2018Q4
COB07CD08V38,2018Q4
COB07CD08VD6,2018Q4
COB07CD08VY2,2018Q4
COB07CD08W45,2018Q4
COB07CD08WE2,2018Q4
COB07CD08WK9,2018Q4
COB07CD08WU8,2018Q4
COB07CD08X51,2018Q4
COB07CD08Y68,2018Q4
COB07CD08YI9,2018Q4
COB07CD08YN9,2018Q4
COB07CD08YX8,2018Q4
COB07CD08ZN6,2018Q4
COB07CD098B0,2018Q4
COB07CD098Q8,2018Q4
COB07CD099H5,2018Q4
COB07CD099O1,2018Q4
COB07CD09A16,2018Q4
COB07CD09AG1,2018Q4
COB07CD09AR8,2018Q4
COB07CD09BP0,2018Q4
COB07CD09C63,2018Q4
COB07CD09IX9,2018Q4
COB07CD09JB3,2018Q4
COB07CD09JP3,2018Q4
COB07CD09SM1,2018Q4
COB07CD09T72,2018Q4
COB07CD09T80,2018Q4
COB07CD09TG1,2018Q4
COB07CD09TS6,2018Q4
COB07CD09TY4,2018Q4
COB07CD09UE4,2018Q4
COB07CD09VA0,2018Q4
COB07CD09VG7,2018Q4
COB07CD09VZ7,2018Q4
COB07CD09W02,2018Q4
COB07CD09W10,2018Q4
COB07CD09W28,2018Q4
COB07CD09WC4,2018Q4
COB07CD09WF7,2018Q4
COB07CD09X19,2018Q4
COB07CD09X27,2018Q4
COB07CD09X43,2018Q4
COB07CD09X50,2018Q4
COB07CD09XC2,2018Q4
COB07CD09XD0,2018Q4
COB07CD09XH1,2018Q4
COB07CD09YF3,2018Q4
COB07CD09YQ0,2018Q4
COB07CD0A0E4,2018Q4
COB07CD0A0F1,2018Q4
COB07CD0A1Q6,2018Q4
COB07CD0A289,2018Q4
COB07CD0A2R2,2018Q4
COB07CD0A3C2,2018Q4
COB07CD0A685,2018Q4
COB07CD0A6R3,2018Q4
COB07CD0A6S1,2018Q4
COB07CD0A750,2018Q4
COB07CD0A768,2018Q4
COB07CD0A776,2018Q4
COB07CD0AAA6,2018Q4
COB07CD0AAB4,2018Q4
COB07CD0AB18,2018Q4
COB07CD0AC66,2018Q4
COB07CD0AFC1,2018Q4
COB12CD00H60,2018Q4
COB12CD00MU6,2018Q4
COB12CD01TG8,2018Q4
COB12CD01TL8,2018Q4
COB12CD01UM4,2018Q4
COB12CD01UX1,2018Q4
